neighbors,.metric,mean
1,accuracy,0.825609379242256
1,ppv,0.8843844172202205
1,sens,0.8710377358490566
1,spec,0.7125974025974026
2,accuracy,0.8272421078612859
2,ppv,0.8852805768341596
2,sens,0.8725689404934688
2,spec,0.7145021645021645
3,accuracy,0.8378525978032827
3,ppv,0.8870914213913129
3,sens,0.8870464441219158
3,spec,0.7157142857142857
4,accuracy,0.8378525978032827
4,ppv,0.8870914213913129
4,sens,0.8870464441219158
4,spec,0.7157142857142857
5,accuracy,0.8387001357521905
5,ppv,0.8867247460955094
5,sens,0.8885486211901307
5,spec,0.7150649350649351
6,accuracy,0.8376225595458472
6,ppv,0.8859470745306162
6,sens,0.8877866473149492
6,spec,0.7132034632034632
7,accuracy,0.8398141429100333
7,ppv,0.8895796750424327
7,sens,0.8866545718432511
7,spec,0.7236796536796537
8,accuracy,0.8400881155127731
8,ppv,0.8898753071384621
8,sens,0.8866545718432511
8,spec,0.7246320346320346
9,accuracy,0.8471449586572875
9,ppv,0.892700184721746
9,sens,0.8942743105950653
9,spec,0.7303030303030303
10,accuracy,0.847941256324818
10,ppv,0.893159547216125
10,sens,0.8950290275761974
10,spec,0.7312121212121212
11,accuracy,0.849300111069974
11,ppv,0.8895323741904243
11,sens,0.9018795355587809
11,spec,0.7187878787878788
12,accuracy,0.8492929038627669
12,ppv,0.8897743474444012
12,sens,0.9014949201741654
12,spec,0.7197402597402597
13,accuracy,0.8509730717018388
13,ppv,0.8925810839089409
13,sens,0.9011248185776488
13,spec,0.7265800865800865
14,accuracy,0.8509730717018388
14,ppv,0.8925810839089409
14,sens,0.9011248185776488
14,spec,0.7265800865800865
15,accuracy,0.8501149203998519
15,ppv,0.8916498538871116
15,sens,0.9003483309143687
15,spec,0.7256277056277056
16,accuracy,0.8503815870665186
16,ppv,0.8924138770979434
16,sens,0.8999709724238026
16,spec,0.7274458874458875
17,accuracy,0.8498225348636308
17,ppv,0.8909071459420483
17,sens,0.9011030478955008
17,spec,0.7227705627705627
18,accuracy,0.8492782919906208
18,ppv,0.8904844976908286
18,sens,0.9007184325108853
18,spec,0.7218181818181818
19,accuracy,0.8498371467357768
19,ppv,0.8900306613875777
19,sens,0.9022423802612483
19,spec,0.72
20,accuracy,0.8501038134024436
20,ppv,0.8900725901087516
20,sens,0.9026197387518142
20,spec,0.72
21,accuracy,0.8560612612612613
21,ppv,0.896093311514867
21,sens,0.9045283018867925
21,spec,0.735974025974026
22,accuracy,0.8557945945945946
22,ppv,0.8960461734677291
22,sens,0.9041509433962265
22,spec,0.735974025974026
23,accuracy,0.8557908922621251
23,ppv,0.8988504681088101
23,sens,0.9007474600870827
23,spec,0.7444155844155844
24,accuracy,0.8560611625323954
24,ppv,0.8991574856526697
24,sens,0.9007474600870827
24,spec,0.7453679653679653
25,accuracy,0.8538803899790202
25,ppv,0.8968905972380805
25,sens,0.899956458635704
25,spec,0.7397835497835498
26,accuracy,0.8541506602492904
26,ppv,0.8969185497188632
26,sens,0.9003338171262699
26,spec,0.7397835497835498
27,accuracy,0.8538729853140812
27,ppv,0.8972364130374284
27,sens,0.8995791001451379
27,spec,0.7406493506493507
28,accuracy,0.8544136245834876
28,ppv,0.8973104048983237
28,sens,0.9003410740203193
28,spec,0.7406493506493507
29,accuracy,0.8573944958657287
29,ppv,0.8991242646778538
29,sens,0.9026052249637155
29,spec,0.7452380952380953
30,accuracy,0.8573871899296557
30,ppv,0.8991185700949159
30,sens,0.9025979680696662
30,spec,0.7452380952380953
31,accuracy,0.859304800691102
31,ppv,0.8980253372286308
31,sens,0.9068069666182874
31,spec,0.7416450216450217
32,accuracy,0.8587604590892262
32,ppv,0.8979488174421378
32,sens,0.9060377358490567
32,spec,0.7416450216450217
33,accuracy,0.8606600518326546
33,ppv,0.8997405917621233
33,sens,0.9068142235123368
33,spec,0.7461904761904762
34,accuracy,0.8606600518326546
34,ppv,0.8997405917621233
34,sens,0.9068142235123368
34,spec,0.7461904761904762
35,accuracy,0.860378674564976
35,ppv,0.8997324146167168
35,sens,0.9064150943396226
35,spec,0.7461471861471861
36,accuracy,0.860378674564976
36,ppv,0.8997324146167168
36,sens,0.9064150943396226
36,spec,0.7461471861471861
37,accuracy,0.8590200172775515
37,ppv,0.896798332809999
37,sens,0.9083164005805515
37,spec,0.7367099567099566
38,accuracy,0.8590200172775515
38,ppv,0.896798332809999
38,sens,0.9083164005805515
38,spec,0.7367099567099566
39,accuracy,0.8587606565469579
39,ppv,0.8966666137012007
39,sens,0.9079608127721336
39,spec,0.7366666666666667
40,accuracy,0.8587606565469579
40,ppv,0.8966666137012007
40,sens,0.9079608127721336
40,spec,0.7366666666666667
